名稱,代號,2024配息率,2023配息率,2022配息率,2021配息率,平均配息率,23Q1營收,23Q1EPS,23Q2營收,23Q2EPS,23Q3營收,23Q3EPS,23Q4營收,23Q4EPS,2023EPS,股價,24Q1營收,24Q1EPS,24Q2營收,24Q2EPS,24Q3營收,24Q3EPS,10月營收,11月營收,12月營收
太子,"=""2511""",97.3,54.9,52.6,81.6,71.6,21.6,0.1,21.5,0.08,19.6,0.05,22.2,0.13,0.37,10.2,17.1,0.08,21.8,-0.05,19.6,0.07,5.27,9.35,11.64
龍邦,"=""2514""",0.0,0.0,0.0,0.0,0.0,18.4,-0.04,36.2,0.75,61.9,0.5,61.8,1.24,2.44,19.0,64.6,1.28,55.5,0.43,74.2,0.91,18.53,18.07,18.05
中工,"=""2515""",127.0,97.4,30.5,58.2,78.275,39.8,0.07,48.5,0.11,49.9,0.1,51.5,0.13,0.41,10.35,49.2,0.07,52.1,0.1,63.6,0.16,19.09,25.04,29.47
新建,"=""2516""",0.0,0.0,0.0,0.0,0.0,19.6,0.27,18.7,0.23,23.1,0.31,24.9,-0.04,0.77,18.45,19.8,0.22,23.2,0.02,23.1,0.36,8.03,8.18,13.97
冠德,"=""2520""",40.7,40.7,38.6,35.3,38.825,44.9,0.89,44.4,0.36,49.7,1.43,55.4,1.75,4.42,49.85,48.1,1.39,103,4.4,70,2.51,29.41,17.54,18.22
京城,"=""2524""",0.0,0.0,0.0,0.0,0.0,3.88,0.17,4.8,-0.03,9,0.56,7.87,0.51,1.2,61.0,8.92,0.54,12.9,0.95,12.5,1.05,25.4,14.07,18.97
宏璟,"=""2527""",67.6,85.5,48.5,94.0,73.9,0.87,-0.38,2.22,0.11,18.3,2.59,1.82,-0.11,2.22,34.95,4.29,0.04,4.59,0.03,6.9,1.26,54.67,1.65,0.56
皇普,"=""2528""",-69.1,50.2,30.8,0.0,2.9750000000000023,18.2,0.89,0.31,-0.06,0,-0.09,0,-0.1,0.64,39.95,0,-0.1,0.01,-0.42,0.24,-0.27,0.0,0.0,53.06
華建,"=""2530""",0.0,86.8,0.0,0.0,21.7,0.04,-0.01,0.03,-0.02,0.02,-0.03,19.4,0.67,0.61,38.45,7.6,0.23,18.0,0.62,20.0,0.63,1.99,1.48,11.9
宏盛,"=""2534""",90.9,42.2,67.4,89.3,72.45,12.2,0.74,3.82,-0.12,5.1,0.19,4.37,0.29,1.1,23.95,3.63,0.1,3,-0.12,3.08,0.02,1.05,0.78,9.39
達欣工,"=""2535""",79.6,68.3,66.1,67.1,70.27499999999999,30.3,0.81,35.9,1.14,37.7,0.7,41.2,1.04,3.77,54.6,33.6,0.89,43.4,1.69,34.9,0.92,9.15,13.08,12.83
宏普,"=""2536""",72.5,-312.0,0.0,65.2,-43.575,0.44,-0.32,0.85,-0.26,0.45,-0.33,30.6,1.6,0.69,31.15,3.42,-0.06,1.82,0.14,0.74,0.02,0.31,0.15,18.05
聯上發,"=""2537""",0.0,0.0,65.2,67.8,33.25,0.62,-0.11,1.34,-0.06,1.61,-0.02,1.89,-0.01,-0.2,12.0,3.32,0.07,9.04,0.43,2.76,0.08,0.01,1.64,5.37
基泰,"=""2538""",74.5,114.0,-161.0,-156.0,-32.125,0.87,1.44,0.5,0.04,1.42,-0.17,0.96,-0.37,0.94,13.95,0.57,0.3,5.8,0.07,2.17,-0.11,0.21,0.22,0.88
櫻花建,"=""2539""",17.9,9.71,16.8,13.5,14.4775,18.3,0.55,4.1,-0.03,23,0.6,25.2,1.03,2.24,52.6,13,0.47,4.79,0.08,0.08,-0.14,57.55,3.95,10.85
愛山林,"=""2540""",38.4,89.8,49.9,16.2,48.575,15,0.52,20,1.05,19.2,0.73,26.9,2.04,3.91,89.8,23.3,1.53,26.2,1.32,25.5,0.73,18.08,6.33,12.14
興富發,"=""2542""",37.6,21.8,62.1,95.0,54.125,91,0.62,77.2,0.32,202,0.49,70.7,-0.01,1.33,42.45,52.1,0.32,100,0.37,95,0.89,63.06,31.12,23.85
皇昌,"=""2543""",12.0,29.4,0.0,0.0,10.35,21,0.08,27,0.33,30.6,0.61,34.2,1.0,2.15,78.7,23.4,0.39,39.5,3.29,29.3,0.96,10.14,11.24,10.67
皇翔,"=""2545""",99.1,79.6,84.5,84.4,86.9,5.73,-0.18,6.06,-0.43,8.48,0.48,27.2,2.46,2.32,62.5,24.3,1.83,32.9,2.45,44.5,3.3,10.57,5.74,5.96
根基,"=""2546""",48.8,46.2,37.2,60.9,48.275,32.7,1.43,39.5,3.02,30,1.19,40.7,2.59,8.2,69.6,30,1.01,35.1,1.12,34,1.86,14.3,12.94,16.03
日勝生,"=""2547""",-227.0,0.0,286.0,89.9,37.225,12.0,-0.11,18.7,-0.07,17.1,-0.02,26.9,0.1,-0.11,10.5,14.5,-0.11,17.2,-0.09,17.7,-0.07,5.18,6.62,9.25
華固,"=""2548""",57.9,70.2,71.0,69.7,67.2,47.1,4.28,16.1,1.1,28.8,2.24,66,5.33,12.95,108.5,0.07,-0.27,17.4,0.93,54.2,4.32,0.12,0.31,0.03
綠意,"=""2596""",122.0,172.0,49.2,82.8,106.5,0.49,-0.12,0.52,-0.12,4.62,0.48,3.5,0.58,0.82,40.65,0.99,-0.11,0.86,-0.15,1.01,-0.05,0.28,0.52,4.48
潤弘,"=""2597""",52.5,89.8,90.4,86.9,79.9,48.1,1.26,56,1.97,58,2.34,62.8,3.78,10.28,153.0,53.6,2.14,67.8,3.41,68.8,2.77,21.71,24.38,25.0
益航,"=""2601""",0.0,0.0,0.0,0.0,0.0,15.3,0.08,13.3,-0.27,12.4,-0.27,14.0,-1.56,-2.02,7.06,12.9,-0.07,12.0,-0.01,11.1,-0.07,4.38,3.92,4.19
長榮,"=""2603""",59.7,80.4,39.5,49.1,57.175,668,2.38,674,2.41,728,10.35,697,1.56,16.7,201.0,886,8.14,"1,063",13.7,"1,528",28.75,415.26,360.93,381.37
新興,"=""2605""",98.7,147.0,83.3,208.0,134.25,10.1,0.21,9.76,0.18,10.2,0.18,12.8,0.19,0.76,24.65,11.4,0.6,12,1.2,11,0.42,3.08,3.23,3.83
裕民,"=""2606""",74.1,57.6,51.8,115.0,74.625,28.6,0.59,36.5,0.71,39,0.91,39.7,1.04,3.24,57.1,38.5,1.17,41.6,1.44,44.7,1.84,13.46,13.18,12.02
榮運,"=""2607""",43.1,37.9,40.0,46.9,41.975,32.5,0.42,40.6,1.14,43.4,0.68,47.4,0.31,2.55,30.15,44.9,0.53,52.2,0.69,64.6,0.71,16.79,16.92,17.08
嘉里大榮,"=""2608""",71.6,62.0,55.2,52.3,60.275000000000006,29,0.56,29.2,1.8,30.9,0.61,31.2,0.66,3.63,38.4,30,0.58,30.9,0.55,32.4,0.57,10.43,11.26,11.66
陽明,"=""2609""",146.0,38.7,41.0,0.0,56.425,370,0.97,350,-0.04,359,0.8,327,-0.37,1.37,67.0,438,2.69,526,3.98,728,8.12,189.93,174.78,172.49
華航,"=""2610""",61.1,95.9,49.8,0.0,51.7,427,0.22,472,0.55,477,0.38,473,-0.01,1.13,25.55,486,0.51,503,0.57,520,0.63,171.31,173.05,184.57
志信,"=""2611""",92.7,0.0,59.2,0.0,37.975,1.3,0.05,1.59,0.35,1.6,0.97,1.68,1.11,2.48,21.65,1.68,1.14,1.65,0.37,1.7,0.32,0.54,0.61,0.69
中航,"=""2612""",60.2,56.2,50.9,95.8,65.775,9.29,0.88,9.81,0.25,10.4,0.33,10.6,0.2,1.66,39.5,10.2,0.65,11.3,0.93,12.2,0.59,4.18,4.25,4.33
中櫃,"=""2613""",84.5,100.0,101.0,87.0,93.125,7.15,-0.23,7.81,0.29,8.27,0.28,8.25,0.37,0.71,30.9,7.69,0.15,8.34,0.34,8.49,0.36,2.53,2.86,2.96
東森,"=""2614""",0.0,0.0,73.0,85.1,39.525,13.9,0.17,14.3,0.11,14.9,-0.08,15.2,-1.18,-0.91,16.85,14.4,0.02,14.3,0.42,13.9,0.2,4.78,4.93,5.24
萬海,"=""2615""",-72.5,15.1,24.8,19.6,-3.2499999999999982,256.0,-0.75,245.0,-0.83,250.0,0.9,251.0,-1.38,-2.07,75.0,276.0,1.65,382.0,4.12,545.0,6.57,137.79,134.24,143.89
山隆,"=""2616""",89.6,75.5,81.7,80.6,81.85,39.5,0.22,40.7,0.18,41.5,0.11,42.5,-0.03,0.48,16.85,36.1,0.0,29.7,0.0,21.7,-1.74,6.66,7.16,7.24
台航,"=""2617""",40.2,45.5,63.3,72.6,55.4,9.35,0.34,10.3,0.4,9.49,2.65,10.8,0.6,3.98,29.2,10.3,0.81,11.3,0.58,11.5,0.96,3.8,3.5,3.65
長榮航,"=""2618""",44.9,59.6,45.2,0.0,37.425,444,0.84,486,1.11,533,1.1,541,0.97,4.01,46.9,519,0.87,554,1.44,572,1.66,182.36,182.7,200.54
亞航,"=""2630""",171.0,450.0,47.2,42.5,177.675,11.1,0.02,12.8,-0.18,11.8,0.27,12.9,0.17,0.31,38.2,12.6,0.18,12.6,0.2,14.0,0.15,3.32,5.07,4.33
台灣高鐵,"=""2633""",73.4,100.0,118.0,101.0,98.1,121,0.38,123,0.29,122,0.22,132,0.5,1.39,27.35,134,0.37,131,0.29,132,0.25,41.2,45.17,47.99
漢翔,"=""2634""",60.2,62.4,59.3,47.6,57.37499999999999,99.4,0.58,95.4,0.8,99.8,0.7,96.4,0.29,2.36,45.25,106,0.85,88,0.61,86.4,0.26,32.45,38.79,41.98
台驊控股,"=""2636""",65.8,55.8,29.5,63.9,53.75,33.7,1.81,34.2,3.79,38.3,4.03,40.1,1.13,10.76,75.7,46.6,1.88,68.4,2.84,76.2,2.29,21.39,21.48,20.48
慧洋-KY,"=""2637""",62.8,45.9,49.8,1000.0,289.625,35.9,-0.18,47.2,2.05,37.9,0.58,49,1.92,4.38,63.3,46.9,1.99,55.3,2.3,54.9,2.09,16.89,15.19,14.47
大車隊,"=""2640""",84.7,83.3,85.2,74.7,81.975,6.76,1.88,7.01,1.61,7.03,1.68,7.92,1.91,7.08,128.5,7.3,1.94,7.44,2.0,7.52,2.47,2.54,2.56,2.92
正德,"=""2641""",28.5,24.0,35.7,0.0,22.05,2.57,0.32,3.35,0.13,3.5,0.67,3.96,0.6,1.69,17.8,3.9,0.52,3.94,0.39,4.26,0.6,1.53,1.43,1.49
宅配通,"=""2642""",80.8,81.1,83.3,82.2,81.85,10.1,0.02,10.4,0.46,10.9,0.33,10.5,0.19,0.99,33.9,10.2,0.16,10,0.13,10.2,0.0,2.95,3.6,3.53
捷迅,"=""2643""",66.4,42.0,51.4,55.9,53.925,8.13,2.04,7.67,1.04,10.6,1.73,15.3,2.91,7.53,73.7,9.79,1.35,12.1,1.5,14.1,1.4,5.31,5.78,5.54
長榮航太,"=""2645""",90.9,89.3,80.0,,65.05,33.1,0.84,37.9,1.69,39.4,1.67,37.4,0.74,4.95,103.5,37,1.36,39.8,1.34,40.3,1.07,13.7,15.09,16.96
星宇航空,"=""2646""",0.0,0.0,,,0.0,43.6,0.1,55.2,0.08,60.7,-0.01,65.2,-0.09,0.08,27.55,80.0,0.3,83.4,0.11,95.9,0.25,30.98,29.85,35.37
萬企,"=""2701""",52.8,53.2,86.8,64.1,64.225,0.75,0.05,0.73,0.12,0.79,0.25,0.7,0.1,0.53,12.45,0.76,0.06,0.8,0.18,0.77,0.27,0.19,0.19,0.2
華園,"=""2702""",0.0,7.41,6.05,0.0,3.365,3.25,-0.26,3.69,0.22,3.75,0.54,3.65,-0.33,0.16,17.0,3.33,0.29,3.73,0.23,3.79,-0.19,1.35,1.09,1.13
國賓,"=""2704""",74.6,16.8,0.0,0.0,22.85,3.86,0.54,2.75,1.36,3.12,-0.15,3.06,-0.41,1.34,53.9,3.53,4.29,2.97,-0.02,3.28,-0.91,0.96,1.06,1.24
六福,"=""2705""",0.0,0.0,0.0,0.0,0.0,4.8,-0.26,4.61,-0.49,6.11,-0.09,6.59,0.33,-0.51,18.3,5.06,0.0,4.97,-0.26,6.29,0.15,2.18,2.44,2.26
第一店,"=""2706""",58.3,58.3,87.5,46.9,62.75,0.82,0.06,0.86,0.16,0.86,0.25,0.89,0.13,0.6,14.75,0.85,0.05,0.83,0.21,0.97,0.28,0.29,0.3,0.32
晶華,"=""2707""",0.0,90.4,73.8,69.5,58.425,17.4,2.84,16,2.7,16.3,2.31,18,3.27,11.11,193.5,17.5,3.33,13.9,2.32,14.5,1.74,4.8,5.62,6.71
遠雄來,"=""2712""",89.0,38.6,0.0,75.3,50.725,1.57,0.13,1.45,0.03,2.15,0.31,1.38,-0.01,0.47,25.1,1.26,-0.09,0.3,-0.71,0.95,-0.35,0.29,0.38,0.38
全心投控,"=""2718""",38.0,0.0,0.0,0.0,9.5,8.02,3.03,9.05,3.4,2.37,1.04,2.31,0.52,7.9,68.8,3,1.16,0.78,0.08,37.5,33.25,0.67,0.53,0.01
燦星旅,"=""2719""",0.0,0.0,0.0,0.0,0.0,1.1,0.02,2.45,-0.09,3.92,0.23,3.51,1.38,1.53,53.7,5.46,0.41,5.23,1.44,7.38,0.06,1.68,1.53,1.5
夏都,"=""2722""",36.2,43.5,111.0,63.3,63.5,1.87,0.2,1.97,0.21,2.36,0.4,1.44,-0.12,0.69,35.3,1.54,0.21,1.68,0.0,1.9,0.11,0.4,0.42,0.38
美食-KY,"=""2723""",83.3,93.3,82.4,70.9,82.475,52,1.38,50.6,1.47,51.5,1.27,50.2,0.09,4.2,103.5,46.5,0.89,46.8,0.43,47.3,0.84,15.77,16.2,17.22
藝舍-KY,"=""2724""",0.0,0.0,0.0,0.0,0.0,0.24,-0.06,0.34,0.0,0.52,0.11,0.35,0.03,-0.06,37.35,0.18,-0.84,0.57,0.31,3.9,3.22,0.42,0.18,0.14
雅茗-KY,"=""2726""",0.0,0.0,0.0,45.9,11.475,1.8,-0.33,2.18,-1.14,1.94,-0.07,1.53,-1.9,-4.06,23.9,1.29,3.69,1.33,0.21,1.41,0.18,0.45,0.76,0.42
王品,"=""2727""",89.0,73.9,0.0,94.7,64.4,56.1,5.01,53.8,4.84,58.2,4.59,55,3.25,16.79,222.5,56.5,3.77,53.6,4.24,57.5,4.4,17.28,18.05,19.67
瓦城,"=""2729""",80.8,96.7,56.8,90.9,81.30000000000001,14.6,4.84,13.8,3.22,15.1,3.32,13.7,1.31,12.37,202.5,15.4,2.52,15.1,2.38,16,2.89,4.72,4.51,5.06
雄獅,"=""2731""",52.6,0.0,0.0,0.0,13.15,32.9,1.08,55,2.37,66.5,2.83,60.6,8.85,15.21,128.0,59.4,3.49,74.2,3.15,80.1,0.89,23.64,23.13,20.47
六角,"=""2732""",0.0,94.1,101.0,84.8,69.975,9.98,1.53,10.2,1.83,10.4,2.03,10.4,1.03,6.42,95.2,9.71,1.23,10.2,1.5,10.6,1.45,3.14,3.02,3.47
易飛網,"=""2734""",0.0,0.0,0.0,0.0,0.0,3.61,0.12,4.43,0.53,4.9,0.18,9.53,-0.25,0.56,26.9,6.7,0.1,3.55,1.56,3.99,0.14,1.08,1.16,1.18
富野,"=""2736""",0.0,0.0,0.0,111.0,27.75,1.82,0.79,1.32,-0.24,1.13,-0.5,1.02,-0.44,-0.4,23.4,0.9,-0.13,0.73,-1.04,0.8,-0.91,0.35,0.54,0.53
寒舍,"=""2739""",0.0,0.0,0.0,0.0,0.0,12,0.9,11.1,0.43,11.5,1.44,13.8,1.76,4.52,53.9,13.6,1.82,11.5,3.85,11.3,-0.97,4.14,4.48,5.38
天蔥,"=""2740""",0.0,0.0,0.0,0.0,0.0,0.39,-0.39,0.39,-0.36,0.41,-0.51,0.44,-0.88,-2.15,34.45,0.48,-1.0,0.48,-0.65,0.85,-0.38,0.2,0.14,0.21
山富,"=""2743""",31.1,0.0,0.0,0.0,7.775,7.41,2.02,11.3,2.61,14.3,2.58,17.1,2.45,9.66,103.5,19,5.4,17,0.51,16.3,0.58,5.73,6.49,3.89
五福,"=""2745""",44.5,0.0,0.0,0.0,11.125,6.55,0.9,12.4,2.26,15,2.34,15.9,2.36,7.87,115.0,18,3.11,20.3,2.75,19.1,2.64,6.58,6.26,5.35
雲品,"=""2748""",72.5,57.5,-132.0,69.4,16.85,6.23,0.86,4.83,0.35,5.34,0.61,7.2,0.97,2.76,63.1,7.43,1.35,4.93,0.33,5.2,0.26,1.89,2.26,2.73
王座,"=""2751""",56.8,0.0,0.0,0.0,14.2,2.87,1.83,2.93,1.93,3.39,2.01,3.34,1.06,6.83,67.9,3.36,0.88,3.37,1.09,3.54,1.5,1.16,1.15,1.32
豆府,"=""2752""",90.0,96.5,67.4,87.5,85.35,7.49,4.0,7.49,3.54,8.15,4.16,7.86,3.08,14.78,237.0,8.6,3.9,8.57,3.77,9.62,3.52,3.07,3.17,3.47
八方雲集,"=""2753""",81.0,75.1,74.5,85.4,79.0,17.3,2.0,17.7,2.17,19.3,2.24,19.2,1.94,8.35,148.0,19.3,2.36,19.1,2.1,20.5,2.18,7.05,6.88,7.43
亞洲藏壽司,"=""2754""",33.0,28.8,91.8,63.2,54.2,11.9,1.86,12.1,1.22,14,1.31,12.3,0.15,4.54,84.8,14.3,2.02,11.8,-0.26,14.9,0.25,4.06,3.9,4.85
揚秦,"=""2755""",81.8,30.5,54.8,51.3,54.6,4.87,0.97,5.35,1.12,5.64,1.19,5.72,1.13,4.4,106.0,5.67,1.16,6.16,1.47,6.68,1.66,2.27,2.24,2.32
聯發國際,"=""2756""",0.0,68.1,48.4,32.1,37.15,1.71,0.85,2,1.39,2.06,1.93,1.61,0.39,4.56,69.8,1.58,0.76,1.64,0.77,1.83,0.39,0.65,0.59,0.62
世界健身-KY,"=""2762""",0.0,,,,0.0,22.1,0.97,23.6,0.64,24.5,0.83,24.1,1.05,3.5,92.6,23.4,0.86,24.6,1.21,24.8,0.57,8.32,8.4,8.69
彰銀,"=""2801""",45.8,52.9,59.5,52.9,52.775,97.8,0.33,99.4,0.33,96.5,0.3,92,0.25,1.2,18.1,103,0.35,105,0.32,113,0.34,30.75,33.21,33.53
京城銀,"=""2809""",53.7,55.6,41.8,36.7,46.95,20.6,0.76,29.2,1.36,24.4,1.93,25.6,1.54,5.59,51.2,29.9,1.82,25.8,1.09,16.2,0.57,5.6,9.85,8.65
台中銀,"=""2812""",30.5,26.8,22.7,23.3,25.825,41.5,0.29,43.6,0.31,44.4,0.35,45.5,0.37,1.31,18.9,46.8,0.4,48.9,0.4,49.1,0.37,16.15,15.7,16.25
旺旺保,"=""2816""",0.0,0.0,32.1,25.5,14.4,23.7,0.89,26.1,2.53,26.3,1.26,25.7,0.68,5.37,32.15,27.7,1.81,27.1,1.32,26.4,0.65,9.52,8.95,10.63
華票,"=""2820""",76.0,64.9,65.2,73.7,69.95,7.34,0.38,4.54,0.2,4.84,0.23,3.47,0.15,0.96,15.0,6.76,0.32,4.23,0.18,6.46,0.31,1.76,1.47,1.71
台產,"=""2832""",48.1,53.8,72.8,57.9,58.15,16.3,0.67,17.2,0.8,17.7,0.88,16.5,0.35,2.7,28.8,18.6,1.11,18.1,0.81,19.3,0.81,5.69,6.1,5.52
臺企銀,"=""2834""",15.5,7.94,15.2,15.9,13.635,79.6,0.43,79.4,0.34,82.5,0.26,77.6,0.27,1.29,14.95,86.1,0.35,83.8,0.41,95.1,0.29,23.27,27.81,25.44
高雄銀,"=""2836""",42.9,0.0,51.3,32.1,31.575,8.99,0.17,10.5,0.21,9.81,0.18,8.93,0.14,0.7,11.6,9.78,0.12,11.4,0.15,11.7,0.14,3.4,3.78,3.79
聯邦銀,"=""2838""",19.6,17.4,25.1,0.0,15.525,44.8,0.34,46.3,0.21,44.9,0.31,43.2,0.18,1.02,15.3,52.1,0.35,50,0.23,51.7,0.38,12.7,15.51,14.97
遠東銀,"=""2845""",49.1,40.9,51.2,44.7,46.475,30.6,0.21,33.6,0.29,34,0.34,29.8,0.18,1.03,13.4,33.2,0.31,32.3,0.29,33.7,0.26,11.12,9.04,9.3
安泰銀,"=""2849""",67.9,74.1,61.3,65.8,67.275,14.2,-0.3,15.5,0.34,14.9,0.35,13.6,0.17,0.56,14.1,13.4,0.16,14.1,0.18,14.6,0.23,4.16,4.64,4.32
新產,"=""2850""",54.1,40.1,44.9,37.8,44.225,46.9,1.43,50.6,2.28,52.8,3.15,49.1,2.36,9.22,102.5,52.6,2.78,50.6,2.56,53.2,2.58,17.52,17.38,17.21
中再保,"=""2851""",53.6,0.0,51.4,50.6,38.9,54.4,0.81,55.3,0.66,56.9,0.45,53.2,0.69,2.61,25.55,63.8,1.34,58.8,1.0,50.7,0.29,19.23,18.43,17.93
第一保,"=""2852""",53.6,38.7,65.8,68.6,56.675,17.2,0.25,19,0.7,18.9,0.73,18.8,0.43,2.11,25.05,19.1,0.85,20.3,0.91,19.3,0.83,6.71,6.7,5.87
統一證,"=""2855""",66.7,78.0,68.7,58.1,67.875,18.7,0.31,28.6,0.8,26.2,0.57,21.9,0.29,1.98,26.1,40,1.19,36,0.92,26.6,0.37,9.6,7.61,10.5
三商壽,"=""2867""",0.0,0.0,0.0,0.0,0.0,317.0,-0.7,312.0,-0.37,343.0,0.56,262.0,-1.65,-2.11,6.49,401.0,0.6,354.0,0.64,284.0,-0.7,87.8,129.8,111.52
華南金,"=""2880""",75.9,46.5,60.0,39.6,55.5,143,0.37,149,0.4,158,0.46,145,0.35,1.58,27.65,163,0.41,167,0.41,181,0.48,56.95,48.15,51.41
富邦金,"=""2881""",52.1,42.4,28.0,35.1,39.4,320,1.13,661,2.05,554,1.82,142,-0.14,4.8,91.5,892,2.34,848,3.63,700,2.93,296.76,345.17,394.55
國泰金,"=""2882""",61.7,34.9,33.8,46.2,44.14999999999999,666,0.48,923,1.5,779,1.83,674,-0.53,3.24,65.9,"1,166",2.6,715,2.06,958,2.12,203.4,255.89,276.61
凱基金,"=""2883""",44.3,0.0,42.7,63.2,37.55,116,0.21,167,0.4,94.3,0.44,17.8,0.09,1.13,17.1,157,0.49,118,0.49,244,0.73,44.6,70.43,100.59
玉山金,"=""2884""",85.1,17.2,43.5,42.7,47.125,158,0.42,155,0.29,169,0.34,185,0.38,1.41,27.75,175,0.4,186,0.4,225,0.51,52.57,55.21,67.61
元大金,"=""2885""",52.6,46.5,52.3,60.3,52.925,236,0.46,265,0.72,277,0.67,203,0.24,2.09,34.65,310,0.73,280,0.63,310,0.73,100.7,114.34,92.0
兆豐金,"=""2886""",63.3,93.9,74.1,85.9,79.3,183,0.77,205,0.57,189,0.57,197,0.44,2.37,38.95,224,0.8,212,0.6,219,0.6,61.92,51.64,66.45
台新金,"=""2887""",59.4,46.8,37.1,47.5,47.7,192,0.38,175,0.26,165,0.21,167,0.2,1.01,17.4,213,0.36,214,0.39,235,0.43,65.75,71.48,67.57
新光金,"=""2888""",0.0,0.0,24.0,35.7,14.925,41.8,-0.58,127.0,0.17,134.0,0.36,-48.6,-0.43,-0.48,12.25,184.0,0.2,132.0,1.12,-6.31,-0.05,-24.29,-11.44,139.64
國票金,"=""2889""",126.0,0.0,50.0,58.0,58.5,18.1,0.18,17.8,0.15,18.2,0.14,16.9,0.12,0.58,14.3,20.4,0.18,21.2,0.17,20.4,0.14,6.13,6.93,7.28
永豐金,"=""2890""",46.3,42.9,55.6,64.2,52.25,128,0.41,138,0.43,145,0.45,129,0.33,1.62,22.75,168,0.56,161,0.43,171,0.49,51.12,44.44,48.33
中信金,"=""2891""",63.8,64.5,45.8,48.8,55.72500000000001,235,0.66,390,0.81,444,0.96,297,0.38,2.82,39.0,485,1.07,426,0.78,502,1.1,158.94,163.79,158.53
第一金,"=""2892""",51.5,51.3,65.8,68.7,59.325,177,0.5,174,0.48,166,0.42,155,0.25,1.65,27.85,187,0.52,173,0.48,193,0.5,52.99,53.72,60.6
王道銀行,"=""2897""",50.7,21.1,47.6,48.8,42.05,25.8,0.27,25,0.23,24.2,0.24,20.4,0.13,0.87,9.91,29.8,0.35,25.5,0.2,26.7,0.23,6.72,6.25,6.83
欣欣,"=""2901""",87.9,91.9,93.3,92.4,91.375,0.31,0.07,0.33,0.1,0.35,0.12,0.35,0.11,0.41,27.3,0.34,0.12,0.33,0.09,0.34,0.11,0.11,0.11,0.11
遠百,"=""2903""",82.1,80.3,105.0,79.7,86.77499999999999,92.9,0.56,82.5,0.51,82.5,0.51,109,0.37,1.95,21.9,88.2,0.41,78.5,0.38,76.9,0.3,34.81,43.94,27.64
匯僑,"=""2904""",71.4,43.3,77.7,86.6,69.75,1.22,0.34,1.08,0.29,1.08,0.19,1.04,0.02,0.84,17.8,1.14,0.33,1.28,0.34,1.25,0.28,0.42,0.4,0.44
三商,"=""2905""",-6.47,0.0,45.7,61.3,25.1325,471.0,-0.8,392.0,-0.57,376.0,1.26,415.0,-2.99,-3.09,16.25,444.0,1.27,388.0,1.24,479.0,-0.94,193.65,187.72,223.1
高林,"=""2906""",105.0,96.8,93.0,200.0,123.7,18.4,0.02,19.5,0.12,20.1,0.15,22.0,0.28,0.57,16.9,20.5,0.07,23.1,0.13,22.7,0.04,7.4,6.87,8.54
特力,"=""2908""",112.0,149.0,81.0,66.9,102.225,87.2,0.32,91.7,0.13,91.6,0.1,83.6,-0.03,0.52,20.1,90.9,0.26,98.6,0.2,88.7,0.15,27.98,26.16,35.52
統領,"=""2910""",29.1,0.0,62.5,76.9,42.125,1.14,0.32,1.86,0.23,1.22,0.26,2.62,0.36,1.17,25.0,1.31,0.29,2.02,0.32,1.26,0.22,0.4,0.49,0.6
麗嬰房,"=""2911""",0.0,0.0,0.0,0.0,0.0,8.4,-0.54,6.95,-0.81,6.54,-0.52,8.84,-1.26,-3.83,8.26,7.37,-0.47,6.65,-0.99,5.89,-1.35,2.84,2.73,2.48
統一超,"=""2912""",88.1,101.0,106.0,91.4,96.625,755,2.71,776,2.46,825,2.92,814,2.12,10.21,261.0,811,2.83,828,3.23,879,2.87,286.21,283.75,291.44
農林,"=""2913""",0.0,0.0,0.0,0.0,0.0,0.98,-0.08,0.9,-0.07,1.02,-0.05,0.9,-0.16,-0.36,19.2,0.93,-0.06,0.99,-0.06,1.17,-0.05,0.41,0.41,0.42
潤泰全,"=""2915""",34.8,12.9,20.0,13.5,20.3,7.5,0.14,6.8,4.33,6.78,6.28,5.73,-3.56,7.19,69.2,7.02,4.28,6.42,3.64,7.05,3.2,2.05,2.23,4.16
滿心,"=""2916""",86.8,91.2,87.3,93.2,89.625,4.68,1.21,4.42,1.13,3.4,0.35,5.89,1.92,4.61,51.3,5.06,1.38,4.38,0.72,3.59,0.42,1.9,2.18,2.08
鼎固-KY,"=""2923""",62.5,176.0,179.0,176.0,148.375,36.2,0.22,6.5,-0.2,31.7,0.04,42.9,0.26,0.32,24.3,41.8,0.37,7.61,-0.25,27.0,0.03,3.65,2.97,2.43
宏太-KY,"=""2924""",0.0,0.0,0.0,0.0,0.0,0.07,-0.51,0.12,-0.12,0.1,-0.15,0.12,-0.26,-1.05,29.65,0.08,-0.32,0.54,-0.17,0.83,-0.85,0.11,0.05,0.04
誠品生活,"=""2926""",0.0,0.0,0.0,72.4,18.1,14.5,-0.45,14.7,-0.94,17.4,-1.99,19.9,0.66,-2.73,49.1,16.2,-0.19,16.6,-0.28,16.6,0.23,5.85,6.16,7.04
淘帝-KY,"=""2929""",0.0,0.0,0.0,0.0,0.0,5.56,-0.08,4.26,-0.28,5.01,-0.14,9.03,-0.13,-0.63,12.9,4.73,-0.09,3.77,-0.2,4.59,-0.01,2.7,2.76,2.69
集雅社,"=""2937""",71.2,33.7,70.2,38.1,53.3,9.2,0.67,10,0.51,8.35,0.27,13.1,1.39,2.81,39.7,10.2,0.49,10.5,0.72,9.97,0.59,4.69,5.4,5.66
